I,Q,A
1,"¿Qué artículo del Código Penal Boliviano aborda la tentativa?","El artículo 8 del Código Penal Boliviano aborda la tentativa, estableciendo que quien comienza la ejecución de un delito mediante actos idóneos e inequívocos, pero no lo consuma por causas ajenas a su voluntad, será sancionado con dos tercios de la pena establecida para el delito consumado."
2,"¿Qué establece el artículo 12 del Código Penal sobre el estado de necesidad?","El artículo 12 del Código Penal Boliviano establece que está exento de responsabilidad quien, para evitar una lesión a un bien jurídico propio o ajeno, incurra en un tipo penal, siempre que la lesión que se evite sea mayor que la causada y no se pudiera evitar de otra manera."
3,"¿Qué artículo del Código Penal se refiere a la legítima defensa?","El artículo 11 del Código Penal Boliviano establece la legítima defensa, indicando que quien rechaza una agresión injusta y actual en defensa de un derecho propio o ajeno, estará exento de responsabilidad, siempre que no exista desproporción en el medio empleado."
4,"¿Qué sanciona el artículo 109 del Código Penal?","El artículo 109 del Código Penal Boliviano sanciona la traición, imponiendo una pena de treinta años de presidio sin derecho a indulto a cualquier boliviano que tome armas contra la patria, se una a sus enemigos o les preste ayuda durante un estado de guerra extranjera."
5,"¿Qué protege la Ley N° 2033 de 1999?","La Ley N° 2033 de 1999 protege a las víctimas de delitos contra la libertad sexual, estableciendo medidas para su protección y modificando artículos del Código Penal relacionados con estos delitos."
6,"¿Qué establece la Ley N° 045 de 2010?","La Ley N° 045 de 2010, Ley Contra el Racismo y toda forma de Discriminación, incorpora disposiciones para sancionar conductas racistas y discriminatorias, y modifica varios artículos del Código Penal para incluir penas más severas contra el racismo y la discriminación."
7,"¿Qué artículo del Código Penal establece las penas por complicidad?","El artículo 23 del Código Penal Boliviano establece que el cómplice que facilite o coopere en la ejecución de un delito será sancionado con la pena del delito, atenuada conforme al artículo 39."
8,"¿Qué Ley regula el sistema penitenciario en Bolivia?","La Ley N° 2298 de 2001 regula la ejecución penal y supervisión en Bolivia, estableciendo las normas sobre el régimen penitenciario."
9,"¿Qué artículo del Código Penal establece la reincidencia?","El artículo 41 del Código Penal Boliviano establece que hay reincidencia cuando un condenado comete un nuevo delito dentro de los cinco años posteriores al cumplimiento de la condena anterior."
10,"¿Qué establece el artículo 279 del Código Penal sobre el aborto impune?","El artículo 279 del Código Penal establece que el aborto impune se aplicará cuando el aborto haya sido realizado por razones humanitarias, como cuando la vida o la salud de la madre estén en peligro."
11,"¿Qué establece el artículo 20 del Código Penal sobre la autoría de un delito?","El artículo 20 del Código Penal Boliviano establece que son autores quienes realizan el hecho por sí solos, conjuntamente o por medio de otro, o quienes prestan cooperación sin la cual no habría podido cometerse el delito."
12,"¿Qué regula el artículo 71 del Código Penal sobre el decomiso?","El artículo 71 del Código Penal regula el decomiso de los instrumentos con los que se ejecutó un delito y los efectos provenientes de él, estableciendo que estos serán decomisados, salvo que pertenezcan a un tercero no responsable."
13,"¿Qué dice el artículo 9 del Código Penal sobre el desistimiento y arrepentimiento eficaz?","El artículo 9 del Código Penal establece que no será sancionado quien desista voluntariamente de la comisión del delito o quien impida que el resultado del delito se produzca, siempre y cuando los actos realizados no constituyan por sí mismos otro delito."
14,"¿Qué artículo del Código Penal establece la responsabilidad penal por omisión?","El artículo 13 Bis del Código Penal Boliviano establece que los delitos que consistan en la producción de un resultado pueden ser cometidos por omisión cuando el autor, por un deber jurídico especial, estaba en posición de evitarlo y no lo hizo."
15,"¿Qué sanciona el artículo 281 quinquies del Código Penal?","El artículo 281 quinquies del Código Penal Boliviano sanciona actos de racismo, incluyendo cualquier conducta que discrimine, degrade o humille a una persona o grupo por motivos de raza o etnia."
