I,Q,A
1151,"¿Qué artículo regula las condiciones de cumplimiento de la pena para las mujeres?","El artículo 53 regula las condiciones de cumplimiento de la pena para las mujeres, estableciendo que deben estar en establecimientos separados de los hombres. ley 1768 de 10 de marzo de 1997 del codigo penal."
1152,"¿Cuál es el artículo que regula la detención domiciliaria para mujeres mayores de 60 años?","El artículo 58 establece la detención domiciliaria para mujeres mayores de 60 años o personas valetudinarias cuando la pena no exceda de dos años. ley 1768 de 10 de marzo de 1997 del codigo penal."
1153,"Si una persona es analfabeta y es condenada, ¿qué artículo asegura que reciba educación?","El artículo 54 garantiza que los condenados analfabetos recibirán la educación fundamental correspondiente. ley 1768 de 10 de marzo de 1997 del codigo penal."
1154,"¿Qué artículo fue derogado que antes regulaba el retorno a la penitenciaría?","El artículo 52, que trataba sobre el retorno a la penitenciaría, fue derogado por la Ley Nº 2298. ley 1768 de 10 de marzo de 1997 del codigo penal."
1155,"Si soy menor de 21 años y condenado, ¿qué tipo de trabajo debo realizar según el Código Penal?","El artículo 56 establece que los menores de 21 años solo pueden realizar trabajos dentro del establecimiento y acorde a su capacidad. ley 1768 de 10 de marzo de 1997 del codigo penal."
1156,"¿Qué artículo aseguraba la prestación de trabajo y luego fue derogado?","El artículo 55 aseguraba la prestación de trabajo para los condenados, pero fue derogado por la Ley Nº 1768 de 1997. ley 1768 de 10 de marzo de 1997 del codigo penal."
1157,"¿Qué artículo establece que los condenados deben aprender un oficio si no tienen uno conocido?","El artículo 54 establece que los condenados sin un oficio conocido deberán aprender uno durante su condena. ley 1768 de 10 de marzo de 1997 del codigo penal."
1158,"Si una persona reincide en el racismo, ¿qué capítulo regula la sanción?","El Capítulo VI del Código Penal regula la sanción por reincidencia en delitos de racismo y discriminación, conforme al Decreto Supremo Nº 0667. ley 1768 de 10 de marzo de 1997 del codigo penal."
1159,"¿Qué artículo aplicaba la ejecución diferida y luego fue derogado?","El artículo 57 aplicaba la ejecución diferida, pero fue derogado por la Ley Nº 1970. ley 1768 de 10 de marzo de 1997 del codigo penal."
1160,"¿Qué artículo del Código Penal boliviano fue modificado para incluir disposiciones contra el racismo?","El artículo 281 quinquies fue modificado para incluir disposiciones contra el racismo, según la Ley Nº 045 de 2010. ley 1768 de 10 de marzo de 1997 del codigo penal."
1161,"¿Qué artículo fue derogado y trataba sobre las colonias penales?","El artículo 51 fue derogado por la Disposición Final Cuarta de la Ley Nº 2298 de Ejecución Penal y Supervisión. ley 1768 de 10 de marzo de 1997 del codigo penal."
1162,"Si una mujer es condenada, ¿dónde debe cumplir su pena según el Código Penal?","El artículo 53 establece que las mujeres deben cumplir su pena en establecimientos especiales o dependencias separadas de los varones. ley 1768 de 10 de marzo de 1997 del codigo penal."
1163,"¿Qué artículo aseguraba la ejecución diferida y luego fue derogado?","El artículo 57 regulaba la ejecución diferida, pero fue derogado por la Disposición Final Sexta del Código de Procedimiento Penal. ley 1768 de 10 de marzo de 1997 del codigo penal."
1164,"Si un condenado no tiene un oficio, ¿qué artículo establece que debe aprender uno?","El artículo 54 indica que los condenados sin un oficio conocido deben aprender uno durante su condena. ley 1768 de 10 de marzo de 1997 del codigo penal."
1165,"¿Qué artículo permitía la detención domiciliaria para personas mayores de 60 años?","El artículo 58 permitía la detención domiciliaria para personas mayores de 60 años o valetudinarias cuando la pena no exceda de dos años. ley 1768 de 10 de marzo de 1997 del codigo penal."
1166,"¿Qué artículo fue derogado que trataba sobre la prestación de trabajo en prisión?","El artículo 55 fue derogado por el artículo 3 de la Ley Nº 1768 de 10 de marzo de 1997, que regulaba la prestación de trabajo. ley 1768 de 10 de marzo de 1997 del codigo penal."
1167,"¿Qué artículo regula el tipo de trabajo que pueden realizar los enfermos en prisión?","El artículo 56 establece que los enfermos solo pueden realizar trabajos dentro del establecimiento y acorde a su capacidad. ley 1768 de 10 de marzo de 1997 del codigo penal."
1168,"Si una persona es condenada por un delito culposo, ¿qué artículo cubría su caso antes de ser derogado?","El artículo 60 regulaba los delitos culposos antes de ser derogado por la Disposición Final Sexta del Código de Procedimiento Penal. ley 1768 de 10 de marzo de 1997 del codigo penal."
1169,"¿Qué artículo fue derogado y regulaba el retorno de los reos a la penitenciaría?","El artículo 52 regulaba el retorno a la penitenciaría antes de ser derogado por la Ley Nº 2298. ley 1768 de 10 de marzo de 1997 del codigo penal."
1170,"Si una mujer analfabeta es condenada, ¿qué artículo asegura su acceso a la educación?","El artículo 54 asegura que los condenados analfabetos recibirán educación fundamental. ley 1768 de 10 de marzo de 1997 del codigo penal."
